クラブ,名前,ポジション,生年月日,身長,体重
水戸,山下　優人,MF,1996/5/24,174,78
水戸,山下　翔大,MF,2008/2/29,173,73
水戸,川上　航立,MF,2002/9/7,173,68
水戸,根本　凌,FW,2000/2/3,184,83
水戸,渡邉　新太,FW,1995/8/5,171,67
水戸,粟飯原　尚平,FW,1996/5/26,178,75
水戸,パトリッキ,FW,1998/9/5,180,88
水戸,多田　圭佑,FW,2002/9/27,175,72
水戸,奥田　晃也,FW,1994/10/1,181,72
水戸,マテウス　レイリア,FW,1995/1/22,179,69
水戸,五木田　季晋,FW,2004/7/12,184,78
浦和,西川　周作,GK,1986/6/18,183,81
浦和,牲川　歩見,GK,1994/5/12,195,90
浦和,吉田　舜,GK,1996/11/28,185,83
浦和,佐藤　瑠星,GK,2003/10/24,190,86
浦和,宮本　優太,DF,1999/12/15,171,70
浦和,ダニーロ　ボザ,DF,1998/5/6,184,72
浦和,石原　広教,DF,1999/2/26,169,65
浦和,根本　健太,DF,2002/12/13,184,81
浦和,荻原　拓也,DF,1999/11/23,175,73
浦和,片山　瑛一,DF,1991/11/30,181,75
浦和,ルカ　ディドゥリカ,DF,2007/9/18,200,84
浦和,田中　義峯,DF,2008/4/5,186,85
浦和,マテウス　サヴィオ,MF,1997/4/15,175,74
浦和,中島　翔哉,MF,1994/8/23,164,64
浦和,サミュエル　グスタフソン,MF,1995/1/11,187,79
浦和,渡邊　凌磨,MF,1996/10/2,176,72
浦和,関根　貴大,MF,1995/4/19,167,61
浦和,柴戸　海,MF,1995/11/24,180,70
浦和,松尾　佑介,MF,1997/7/23,170,65
浦和,安居　海渡,MF,2000/2/9,174,69
浦和,植木　颯,MF,2003/10/11,173,71
浦和,早川　隼平,MF,2005/12/5,163,65
浦和,和田　武士,MF,2009/6/5,170,65
浦和,金子　拓郎,MF,1997/7/30,178,75
浦和,長沼　洋一,MF,1997/4/14,178,70
浦和,安部　裕葵,FW,1999/1/28,171,65
浦和,イサーク　キーセ　テリン,FW,1992/6/24,190,85
浦和,小森　飛絢,FW,2000/8/6,178,74
浦和,照内　利和,FW,2006/11/8,172,68
浦和,肥田野　蓮治,FW,2003/12/1,181,75
浦和,松永　颯汰,FW,2003/10/5,180,75
浦和,二田　理央,FW,2003/4/10,174,70
浦和,オナイウ　阿道,FW,1995/11/8,180,75
千葉,ホセ　スアレス,GK,1995/12/18,187,85
千葉,薄井　覇斗,GK,1999/7/11,186,85
千葉,鈴木　椋大,GK,1994/2/10,192,93
千葉,若原　智哉,GK,1999/12/28,186,83
千葉,久保庭　良太,DF,2001/10/14,182,70
千葉,鈴木　大輔,DF,1990/1/29,182,74
千葉,前　貴之,DF,1993/9/16,172,68
千葉,鳥海　晃司,DF,1995/5/9,183,73
千葉,植田　悠太,DF,2004/7/6,173,62
千葉,河野　貴志,DF,1996/6/17,186,82
千葉,石尾　陸登,DF,2001/8/7,181,72
千葉,齋藤　隼士,DF,2008/4/12,182,72
千葉,髙橋　壱晟,MF,1998/4/20,180,81
千葉,田口　泰士,MF,1991/3/16,176,76
千葉,小林　祐介,MF,1994/10/23,172,64
千葉,エドゥアルド,MF,1997/2/1,170,69
千葉,津久井　匠海,MF,2002/4/30,180,75
千葉,米倉　恒貴,MF,1988/5/17,176,71
千葉,椿　直起,MF,2000/6/23,172,65
千葉,杉山　直宏,MF,1998/9/7,176,69
千葉,岩井　琢朗,MF,2002/11/27,175,66
千葉,天笠　泰輝,MF,2000/5/11,176,69
千葉,猪狩　祐真,MF,2003/3/3,167,63
千葉,姫野　誠,MF,2008/8/12,171,66
千葉,安井　拓也,MF,1998/11/21,175,67
千葉,イサカ　ゼイン,MF,1997/5/29,174,78
千葉,品田　愛斗,MF,1999/9/19,180,72
千葉,伊藤　暖,MF,2009/3/3,171,66
千葉,日高　大,MF,1995/3/14,168,62
千葉,田中　和樹,FW,2000/1/13,173,67
千葉,呉屋　大翔,FW,1994/1/2,179,73
千葉,カルリーニョス　ジュニオ,FW,1994/8/8,174,71
千葉,石川　大地,FW,1996/2/22,176,70
千葉,松村　拓実,FW,2004/1/3,178,73
柏,猿田　遥己,GK,1999/4/23,191,83
柏,小島　亨介,GK,1997/1/30,183,85
柏,永井　堅梧,GK,1994/11/6,184,80
柏,坂田　大樹,GK,1994/9/11,184,84
柏,松本　健太,GK,1997/5/4,186,83
柏,三丸　拡,DF,1993/7/6,172,72
柏,古賀　太陽,DF,1998/10/28,184,80
柏,犬飼　智也,DF,1993/5/12,182,78
柏,野田　裕喜,DF,1997/7/27,181,73
柏,杉岡　大暉,DF,1998/9/8,182,75
柏,成瀬　竣平,DF,2001/1/17,166,63
柏,山之内　佑成,DF,2003/9/1,179,78
柏,原田　亘,DF,1996/7/22,178,77
柏,常藤　奏,DF,2004/7/13,183,78
柏,馬場　晴也,DF,2001/10/24,181,76
柏,山田　雄士,MF,2000/5/17,169,63
柏,小泉　佳穂,MF,1996/10/5,172,64
柏,渡井　理己,MF,1999/7/18,168,66
柏,大久保　智明,MF,1998/7/23,170,62
柏,汰木　康也,MF,1995/7/3,183,72
柏,手塚　康平,MF,1996/4/6,177,71
柏,仲間　隼斗,MF,1992/5/16,171,69
柏,瀬川　祐輔,MF,1994/2/7,170,70
柏,小西　雄大,MF,1998/4/18,170,71
柏,長南　開史,MF,2009/4/7,176,70
柏,久保　藤次郎,MF,1999/4/5,167,64
柏,熊坂　光希,MF,2001/4/15,185,80
柏,戸嶋　祥郎,MF,1995/9/26,170,69
柏,古谷　柊介,MF,2005/1/26,174,73
柏,岩永　創太,MF,2005/10/7,166,64
柏,土屋　巧,MF,2003/10/25,180,77
柏,角田　惠風,MF,2003/8/18,171,68
柏,島野　怜,MF,2004/1/7,183,83
柏,中川　敦瑛,MF,2002/5/15,173,71
柏,原川　力,MF,1993/8/18,175,72
柏,山内　日向汰,MF,2001/5/30,170,66
柏,細谷　真大,FW,2001/9/7,178,78
柏,小見　洋太,FW,2002/8/11,169,67
柏,垣田　裕暉,FW,1997/7/14,187,78
柏,古澤　ナベル慈宇,FW,2003/3/28,182,86
FC東京,田中　颯,GK,1999/6/10,184,79
FC東京,小林　将天,GK,2005/9/20,191,87
FC東京,渡邊　麻舟,GK,2008/4/24,186,85
FC東京,新堀　恵太,GK,2008/9/25,191,84
FC東京,後藤　亘,GK,2006/5/8,193,85
FC東京,キム　スンギュ,GK,1990/9/30,189,83
FC東京,室屋　成,DF,1994/4/5,176,70
FC東京,森重　真人,DF,1987/5/21,183,80
FC東京,木本　恭生,DF,1993/8/6,184,78
FC東京,長友　佑都,DF,1986/9/12,170,68
FC東京,バングーナガンデ　佳史扶,DF,2001/9/24,176,74
FC東京,大森　理生,DF,2002/7/21,186,82
FC東京,稲村　隼翔,DF,2002/5/6,182,72
FC東京,アレクサンダー　ショルツ,DF,1992/10/24,189,84
FC東京,土肥　幹太,DF,2004/11/10,186,78
FC東京,橋本　健人,DF,1999/12/8,173,68
FC東京,鈴木　楓,DF,2007/6/5,180,78
FC東京,東　廉太,DF,2004/6/17,190,84
FC東京,高　宇洋,MF,1998/4/20,172,69
FC東京,東　慶悟,MF,1990/7/20,178,72
FC東京,橋本　拳人,MF,1993/8/16,183,74
FC東京,菅原　悠太,MF,2007/9/7,173,67
FC東京,遠藤　渓太,MF,1997/11/22,176,73
FC東京,佐藤　龍之介,MF,2006/10/16,171,65
FC東京,常盤　亨太,MF,2002/4/9,173,69
FC東京,俵積田　晃太,MF,2004/5/14,175,73
FC東京,小泉　慶,MF,1995/4/19,171,70
FC東京,田中　希和,MF,2007/8/7,172,66
FC東京,荒井　悠汰,MF,2004/6/13,175,71
FC東京,山田　楓喜,MF,2001/7/10,181,73
FC東京,北原　槙,MF,2009/7/7,175,68
FC東京,マルセロ　ヒアン,FW,2002/6/8,189,86
FC東京,小柏　剛,FW,1998/7/9,167,67
FC東京,佐藤　恵允,FW,2001/7/11,179,77
FC東京,小湊　絆,FW,2004/11/18,178,76
FC東京,長倉　幹樹,FW,1999/10/7,177,71
FC東京,野澤　零温,FW,2003/7/21,174,69
FC東京,仲川　輝人,FW,1992/7/27,161,58
FC東京,尾谷　ディヴァインチネドゥ,FW,2007/5/4,191,86
東京Ｖ,マテウス,GK,1993/4/10,190,80
東京Ｖ,長沢　祐弥,GK,1996/7/1,185,85
東京Ｖ,馬渡　洋樹,GK,1994/8/16,187,82
東京Ｖ,中村　圭佑,GK,2005/4/27,187,85
東京Ｖ,林　尚輝,DF,1998/6/9,182,79
東京Ｖ,井上　竜太,DF,2000/7/25,186,85
東京Ｖ,宮原　和也,DF,1996/3/22,172,68
東京Ｖ,鈴木　海音,DF,2002/8/25,182,72
東京Ｖ,内田　陽介,DF,2002/8/20,167,65
東京Ｖ,深澤　大輝,DF,1998/8/21,174,70
東京Ｖ,佐古　真礼,DF,2002/12/2,193,88
東京Ｖ,田邉　秀斗,DF,2002/5/5,181,74
東京Ｖ,松田　陸,DF,1999/5/3,176,70
東京Ｖ,吉田　泰授,DF,2000/4/21,174,67
東京Ｖ,松橋　優安,MF,2001/10/27,174,66
東京Ｖ,齋藤　功佑,MF,1997/6/16,172,63
東京Ｖ,森田　晃樹,MF,2000/8/8,167,63
東京Ｖ,福田　湧矢,MF,1999/4/4,174,65
東京Ｖ,平川　怜,MF,2000/4/20,177,72
東京Ｖ,稲見　哲行,MF,1999/4/5,178,75
東京Ｖ,仲山　獅恩,MF,2007/10/16,170,61
東京Ｖ,山本　丈偉,MF,2006/5/18,187,75
東京Ｖ,川村　楽人,MF,2006/4/6,178,72
東京Ｖ,新井　悠太,MF,2003/3/24,166,65
東京Ｖ,今井　健人,MF,2007/10/31,173,63
東京Ｖ,染野　唯月,FW,2001/9/12,181,73
東京Ｖ,山見　大登,FW,1999/8/16,166,64
東京Ｖ,山田　剛綺,FW,2000/9/19,170,65
東京Ｖ,熊取谷　一星,FW,2003/2/14,166,62
東京Ｖ,白井　亮丞,FW,2005/5/17,185,77
東京Ｖ,寺沼　星文,FW,2001/3/8,188,88
東京Ｖ,大藤　颯太,FW,2007/8/7,190,82
東京Ｖ,平尾　勇人,FW,2005/1/6,178,76
町田,谷　晃生,GK,2000/11/22,187,84
町田,守田　達弥,GK,1990/8/3,191,87
町田,カウン　ゼン　マラ,GK,2002/11/11,190,86
町田,新井　栄聡,GK,1995/9/27,189,85
町田,今井　智基,DF,1990/11/29,178,78
町田,昌子　源,DF,1992/12/11,182,76
町田,菊池　流帆,DF,1996/12/9,188,80
町田,ドレシェヴィッチ,DF,1997/1/24,186,84
町田,望月　ヘンリー海輝,DF,2001/9/20,192,81
町田,中山　雄太,DF,1997/2/16,181,76
町田,キム　ミンテ,DF,1993/11/26,187,84
町田,林　幸多郎,DF,2000/11/16,170,70
町田,西川　楓人,DF,2004/4/28,185,76
町田,岡村　大八,DF,1997/2/15,183,85
町田,中村　帆高,DF,1997/8/12,177,72
町田,仙頭　啓矢,MF,1994/12/29,171,64
町田,増山　朝陽,MF,1997/1/29,173,72
町田,前　寛之,MF,1995/8/1,173,70
町田,下田　北斗,MF,1991/11/7,171,66
町田,白崎　凌兵,MF,1993/5/18,181,70
町田,チャ　ジェフン,MF,2006/5/3,185,72
町田,ネタ　ラヴィ,MF,1996/8/25,177,76
町田,高崎　天史郎,MF,2006/2/13,172,60
町田,バスケス　バイロン,MF,2000/5/16,174,71
町田,真也加　チュイ　大夢,MF,2006/8/11,167,63
町田,相馬　勇紀,FW,1997/2/25,166,68
町田,藤尾　翔太,FW,2001/5/2,184,79
町田,ナ　サンホ,FW,1996/8/12,173,70
町田,西村　拓真,FW,1996/10/22,178,73
町田,沼田　駿也,FW,1999/4/19,173,67
町田,エリキ,FW,1994/7/18,170,65
町田,徳村　楓大,FW,2007/11/26,168,63
町田,桑山　侃士,FW,2002/11/28,184,80
町田,テテ　イェンギ,FW,2000/11/28,197,83
川崎Ｆ,山口　瑠伊,GK,1998/5/28,187,80
川崎Ｆ,早坂　勇希,GK,1999/5/22,184,83
川崎Ｆ,イ　クンヒョン,GK,2006/5/22,194,86
川崎Ｆ,スベンド　ブローダーセン,GK,1997/3/22,188,87
川崎Ｆ,松長根　悠仁,DF,2004/9/14,180,77
川崎Ｆ,谷口　栄斗,DF,1999/9/30,181,77
川崎Ｆ,佐々木　旭,DF,2000/1/26,180,76
川崎Ｆ,三浦　颯太,DF,2000/9/7,178,74
川崎Ｆ,フィリップ　ウレモヴィッチ,DF,1997/2/11,184,81
川崎Ｆ,神橋　良汰,DF,2002/6/16,193,92
川崎Ｆ,丸山　祐市,DF,1989/6/16,184,77
川崎Ｆ,山原　怜音,DF,1999/6/8,165,68
川崎Ｆ,野田　裕人,DF,2006/4/5,172,67
川崎Ｆ,関　德晴,DF,2007/4/11,186,74
川崎Ｆ,林　駿佑,DF,2007/5/29,181,75
川崎Ｆ,山本　悠樹,MF,1997/11/6,173,71
川崎Ｆ,橘田　健人,MF,1998/5/29,169,68
川崎Ｆ,大島　僚太,MF,1993/1/23,168,66
川崎Ｆ,脇坂　泰斗,MF,1995/6/11,173,69
川崎Ｆ,名願　斗哉,MF,2004/6/29,178,70
川崎Ｆ,大関　友翔,MF,2005/2/6,178,67
川崎Ｆ,紺野　和也,MF,1997/7/11,161,59
川崎Ｆ,河原　創,MF,1998/3/13,169,65
川崎Ｆ,山市　秀翔,MF,2004/1/20,170,68
川崎Ｆ,由井　航太,MF,2005/6/10,180,70
川崎Ｆ,長　璃喜,MF,2007/10/13,168,64
川崎Ｆ,家長　昭博,MF,1986/6/13,175,72
川崎Ｆ,エリソン,FW,1999/4/13,180,83
川崎Ｆ,小林　悠,FW,1987/9/23,177,72
川崎Ｆ,伊藤　達哉,FW,1997/6/26,167,65
川崎Ｆ,持山　匡佑,FW,2003/8/18,180,71
川崎Ｆ,マルシーニョ,FW,1995/5/16,173,64
川崎Ｆ,宮城　天,FW,2001/6/2,177,70
川崎Ｆ,神田　奏真,FW,2005/12/29,178,73
川崎Ｆ,ラザル　ロマニッチ,FW,1998/3/25,183,81
横浜FM,朴　一圭,GK,1989/12/22,180,74
横浜FM,坪井　湧也,GK,1999/8/23,183,75
横浜FM,飯倉　大樹,GK,1986/6/1,181,75
横浜FM,木村　凌也,GK,2003/6/10,188,83
横浜FM,加藤　蓮,DF,1999/12/28,176,72
横浜FM,井上　太聖,DF,2002/10/1,184,83
横浜FM,渡邊　泰基,DF,1999/4/22,181,80
横浜FM,ジェイソン　キニョーネス,DF,1997/8/17,185,82
横浜FM,角田　涼太朗,DF,1999/6/27,185,80
横浜FM,松原　健,DF,1993/2/16,180,77
横浜FM,諏訪間　幸成,DF,2003/6/6,186,85
横浜FM,関富　貫太,DF,2005/10/23,177,75
横浜FM,トーマス　デン,DF,1997/3/20,182,79
横浜FM,村上　慶,DF,2007/4/11,181,72
横浜FM,渡辺　皓太,MF,1998/10/18,166,66
横浜FM,喜田　拓也,MF,1994/8/23,170,65
横浜FM,鈴木　冬一,MF,2000/5/30,165,62
横浜FM,山根　陸,MF,2003/8/17,174,70
横浜FM,樋口　有斗,MF,2005/3/10,174,65
横浜FM,田中　雄大,MF,2002/10/11,175,72
横浜FM,木村　卓斗,MF,2000/5/16,170,72
横浜FM,天野　純,MF,1991/7/19,175,67
横浜FM,松村　晃助,MF,2004/5/2,170,63
横浜FM,三井寺　眞,MF,2010/4/2,174,65
横浜FM,遠野　大弥,FW,1999/3/14,166,66
横浜FM,谷村　海那,FW,1998/3/5,183,81
横浜FM,ジョルディ　クルークス,FW,1994/1/15,173,70
横浜FM,オナイウ　情滋,FW,2000/11/11,168,67
横浜FM,テヴィス,FW,2006/1/28,179,77
横浜FM,宮市　亮,FW,1992/12/14,183,79
横浜FM,近藤　友喜,FW,2001/3/21,174,68
横浜FM,ディーン　デイビッド,FW,1996/3/14,184,75
横浜FM,ユーリ　アラウージョ,FW,1996/4/13,170,72
横浜FM,高橋　輝,FW,2004/6/26,176,68
横浜FM,浅田　大翔,FW,2008/1/16,180,77
清水,沖　悠哉,GK,1999/8/22,186,83
清水,梅田　透吾,GK,2000/7/23,184,79
清水,石川　慧,GK,1992/9/30,185,83
清水,佐々木　智太郎,GK,2007/3/23,188,75
清水,高橋　祐治,DF,1993/4/11,187,83
清水,蓮川　壮大,DF,1998/6/27,182,82
清水,北爪　健吾,DF,1992/4/30,178,73
清水,パク　スンウク,DF,1997/5/7,184,78
清水,本多　勇喜,DF,1991/1/2,173,69
清水,オム　ジュヨン,DF,2007/7/17,185,73
清水,マテウス　ブルネッティ,DF,1999/11/18,180,77
清水,吉田　豊,DF,1990/2/17,167,72
清水,日髙　華杜,DF,2003/12/11,176,71
清水,住吉　ジェラニレショーン,DF,1997/10/5,183,84
清水,高木　践,DF,2002/3/14,173,70
清水,宇野　禅斗,MF,2003/11/20,175,75
清水,カピシャーバ,MF,1997/1/9,170,64
清水,井上　健太,MF,1998/7/23,172,72
清水,マテウス　ブエノ,MF,1998/7/30,178,79
清水,中原　輝,MF,1996/7/8,169,68
清水,弓場　将輝,MF,2002/5/13,175,72
清水,松崎　快,MF,1997/11/22,172,70
清水,針生　涼太,MF,2008/3/7,174,66
清水,土居　佑至,MF,2007/5/12,168,63
清水,鈴木　奎吾,MF,2003/7/13,175,69
清水,西原　源樹,MF,2006/12/16,180,74
清水,嶋本　悠大,MF,2006/10/26,180,73
清水,小塚　和季,MF,1994/8/2,173,68
清水,大畑　凜生,MF,2003/11/23,177,74
清水,オ　セフン,FW,1999/1/15,194,93
清水,郡司　璃来,FW,2005/8/3,176,72
清水,千葉　寛汰,FW,2003/6/17,178,74
清水,アフメド　アフメドフ,FW,1995/3/4,184,77
清水,髙橋　利樹,FW,1998/1/20,182,76
清水,北川　航也,FW,1996/7/26,180,76
清水,アルフレド　ステファンス,FW,1994/12/25,181,77
名古屋,シュミット　ダニエル,GK,1992/2/3,197,91
名古屋,武田　洋平,GK,1987/6/30,189,84
名古屋,ピサノ　アレックス幸冬堀尾,GK,2006/1/10,197,93
名古屋,萩　裕陽,GK,2007/6/12,189,87
名古屋,野上　結貴,DF,1991/4/20,180,72
名古屋,佐藤　瑶大,DF,1998/9/10,184,77
名古屋,河面　旺成,DF,1994/5/3,184,80
名古屋,藤井　陽也,DF,2000/12/26,188,83
名古屋,三國　ケネディエブス,DF,2000/6/23,193,85
名古屋,久保　遥夢,DF,2007/6/18,184,73
名古屋,森　壮一朗,DF,2007/6/29,180,70
名古屋,徳元　悠平,DF,1995/9/12,171,72
名古屋,原　輝綺,DF,1998/7/30,180,72
名古屋,和泉　竜司,MF,1993/11/6,173,71
名古屋,浅野　雄也,MF,1997/2/17,172,70
名古屋,森島　司,MF,1997/4/25,175,67
名古屋,稲垣　祥,MF,1991/12/25,176,72
名古屋,内田　宅哉,MF,1998/6/2,177,71
名古屋,甲田　英將,MF,2003/10/2,168,65
名古屋,中山　克広,MF,1996/7/17,180,70
名古屋,吉田　温紀,MF,2003/4/29,182,76
名古屋,高嶺　朋樹,MF,1997/12/29,178,75
名古屋,鈴木　陽人,MF,2005/5/17,165,65
名古屋,菊地　泰智,MF,1999/5/7,160,60
名古屋,小野　雅史,MF,1996/8/9,172,68
名古屋,小屋松　知哉,MF,1995/4/24,171,70
名古屋,山中　亮輔,MF,1993/4/20,174,71
名古屋,マテウス　カストロ,FW,1994/9/11,167,71
名古屋,山岸　祐也,FW,1993/8/29,183,80
名古屋,永井　謙佑,FW,1989/3/5,177,72
名古屋,木村　勇大,FW,2001/2/28,185,84
名古屋,マルクス　ヴィニシウス,FW,1998/1/24,176,82
名古屋,榊原　杏太,FW,2001/10/20,168,62
名古屋,杉浦　駿吾,FW,2006/5/14,174,70
京都,太田　岳志,GK,1990/12/26,190,86
京都,圍　謙太朗,GK,1991/4/23,190,93
京都,ファンティーニ　燦,GK,1998/5/24,180,82
京都,村上　昌謙,GK,1992/8/7,185,85
京都,福田　心之助,DF,2000/9/4,174,68
京都,麻田　将吾,DF,1998/7/6,186,82
京都,アピアタウィア　久,DF,1998/10/18,192,85
京都,永田　倖大,DF,2002/9/8,180,79
京都,須貝　英大,DF,1998/10/27,172,67
京都,山本　楓大,DF,2004/8/23,176,73
京都,エンリケ　トレヴィザン,DF,1997/1/20,185,78
京都,石田　侑資,DF,2002/11/11,176,76
京都,鈴木　義宜,DF,1992/9/11,184,72
京都,ジョアン　ペドロ,MF,1999/9/3,185,72
京都,奥川　雅也,MF,1996/4/14,177,67
京都,米本　拓司,MF,1990/12/3,177,72
京都,福岡　慎平,MF,2000/6/27,170,68
京都,平岡　大陽,MF,2002/9/14,173,66
京都,松田　天馬,MF,1995/6/11,163,63
京都,尹　星俊,MF,2007/5/4,170,67
京都,齊藤　未月,MF,1999/1/10,166,66
京都,平戸　太貴,MF,1997/4/18,178,72
京都,立川　遼翔,MF,2007/2/20,183,70
京都,佐藤　響,MF,2000/3/21,168,68
京都,中野　瑠馬,MF,2002/10/6,169,64
京都,新井　晴樹,MF,1998/4/12,170,70
京都,グスタボ　バヘット,MF,1995/12/10,181,78
京都,本田　風智,MF,2001/5/10,170,70
京都,ラファエル　エリアス,FW,1999/4/12,182,76
京都,マルコ　トゥーリオ,FW,1998/3/13,177,75
京都,アレックス　ソウザ,FW,2001/3/24,180,73
京都,デイビッジ　シルバ,FW,2008/2/26,186,86
京都,酒井　滉生,FW,2007/10/7,171,67
京都,長沢　駿,FW,1988/8/25,192,79
Ｇ大阪,東口　順昭,GK,1986/5/12,184,78
Ｇ大阪,荒木　琉偉,GK,2007/10/14,194,85
Ｇ大阪,一森　純,GK,1991/7/2,182,77
Ｇ大阪,張　奥林,GK,2005/4/25,194,80
Ｇ大阪,野畑　優真,GK,2008/7/13,186,72
Ｇ大阪,福岡　将太,DF,1995/10/24,180,73
Ｇ大阪,半田　陸,DF,2002/1/1,176,70
Ｇ大阪,中谷　進之介,DF,1996/3/24,182,77
Ｇ大阪,三浦　弦太,DF,1995/3/1,183,77
Ｇ大阪,岸本　武流,DF,1997/7/16,174,66
Ｇ大阪,池谷　銀姿郎,DF,2004/6/19,180,79
Ｇ大阪,初瀬　亮,DF,1997/7/10,180,70
Ｇ大阪,フィリップ　マックス,DF,1993/9/30,178,75
Ｇ大阪,横井　佑弥,DF,2008/4/15,186,79
Ｇ大阪,丸岡　海太,DF,2008/12/3,180,70
Ｇ大阪,中野　伸哉,DF,2003/8/17,173,64
Ｇ大阪,佐々木　翔悟,DF,2000/7/25,183,75
Ｇ大阪,倉田　秋,MF,1988/11/26,172,68
Ｇ大阪,安部　柊斗,MF,1997/12/5,171,66
Ｇ大阪,鈴木　徳真,MF,1997/3/12,168,64
Ｇ大阪,美藤　倫,MF,2002/2/12,180,67
Ｇ大阪,吉原　優輝,MF,2004/7/19,178,67
Ｇ大阪,當野　泰生,MF,2007/6/2,173,64
Ｇ大阪,山本　天翔,MF,2007/8/24,177,72
Ｇ大阪,名和田　我空,MF,2006/7/29,169,63
Ｇ大阪,中村　仁郎,MF,2003/8/22,165,59
Ｇ大阪,奥抜　侃志,MF,1999/8/11,171,61
Ｇ大阪,村田　康輔,MF,2008/5/22,177,62
Ｇ大阪,藤本　祥輝,MF,2009/4/2,169,59
Ｇ大阪,宇佐美　貴史,FW,1992/5/6,178,69
Ｇ大阪,食野　亮太郎,FW,1998/6/18,171,68
Ｇ大阪,林　大地,FW,1997/5/23,178,74
Ｇ大阪,イッサム　ジェバリ,FW,1991/12/25,186,84
Ｇ大阪,山下　諒也,FW,1997/10/19,164,54
Ｇ大阪,デニス　ヒュメット,FW,1996/9/13,189,82
Ｇ大阪,中積　爲,FW,2007/12/19,172,65
Ｇ大阪,唐山　翔自,FW,2002/9/21,180,72
Ｇ大阪,南野　遥海,FW,2004/5/13,176,71
Ｇ大阪,植中　朝日,FW,2001/11/1,179,75
Ｇ大阪,ウェルトン,FW,1997/8/6,175,80
Ｃ大阪,福井　光輝,GK,1995/11/4,184,78
Ｃ大阪,キム　ジンヒョン,GK,1987/7/6,192,82
Ｃ大阪,中村　航輔,GK,1995/2/27,185,82
Ｃ大阪,イシボウ　拳,GK,2007/8/29,195,82
Ｃ大阪,中村　拓海,DF,2001/3/16,179,70
Ｃ大阪,田中　隼人,DF,2003/11/1,188,82
Ｃ大阪,井上　黎生人,DF,1997/3/9,180,77
Ｃ大阪,登里　享平,DF,1990/11/13,168,68
Ｃ大阪,奥田　勇斗,DF,2001/4/21,174,71
Ｃ大阪,ディオン　クールズ,DF,1996/6/4,185,77
Ｃ大阪,エゼモクェ　チメヅェ海,DF,2009/4/2,183,82
Ｃ大阪,畠中　槙之輔,DF,1995/8/25,185,83
Ｃ大阪,大畑　歩夢,DF,2001/4/27,168,65
