チーム名,ポジション,名前,生年月日,身長,体重
横浜DeNAベイスターズ,投手,コックス,1997.03.28,193,106
横浜DeNAベイスターズ,投手,深沢　鳳介,2003.11.05,177,80
横浜DeNAベイスターズ,投手,森原　康平,1991.12.26,185,88
横浜DeNAベイスターズ,投手,坂口　翔颯,2002.09.12,180,84
横浜DeNAベイスターズ,投手,片山　皓心,1998.10.31,175,84
横浜DeNAベイスターズ,投手,ルイーズ,1994.10.21,185,111
横浜DeNAベイスターズ,投手,中川　颯,1998.10.10,184,80
横浜DeNAベイスターズ,投手,石田　裕太郎,2002.01.22,180,80
横浜DeNAベイスターズ,投手,平良　拳太郎,1995.07.12,180,80
横浜DeNAベイスターズ,投手,レイノルズ,1998.04.19,203,113
横浜DeNAベイスターズ,投手,中川　虎大,1999.10.02,178,85
横浜DeNAベイスターズ,投手,宮城　滝太,2000.07.15,181,80
横浜DeNAベイスターズ,投手,岩田　将貴,1998.06.16,178,81
横浜DeNAベイスターズ,投手,堀岡　隼人,1998.09.11,183,87
横浜DeNAベイスターズ,投手,マルセリーノ,2002.06.16,191,82
横浜DeNAベイスターズ,捕手,松尾　汐恩,2004.07.06,178,82
横浜DeNAベイスターズ,捕手,戸柱　恭孝,1990.04.11,179,90
横浜DeNAベイスターズ,捕手,益子　京右,2000.12.27,176,95
横浜DeNAベイスターズ,捕手,山本　祐大,1998.09.11,180,87
横浜DeNAベイスターズ,捕手,東妻　純平,2001.07.03,174,83
横浜DeNAベイスターズ,捕手,古市　尊,2002.06.15,176,74
横浜DeNAベイスターズ,捕手,九鬼　隆平,1998.09.05,180,85
横浜DeNAベイスターズ,内野手,林　琢真,2000.08.24,171,80
横浜DeNAベイスターズ,内野手,牧　秀悟,1998.04.21,178,97
横浜DeNAベイスターズ,内野手,小田　康一郎,2003.08.15,173,85
横浜DeNAベイスターズ,内野手,森　敬斗,2002.01.28,177,80
横浜DeNAベイスターズ,内野手,京田　陽太,1994.04.20,184,90
横浜DeNAベイスターズ,内野手,筒香　嘉智,1991.11.26,185,97
横浜DeNAベイスターズ,内野手,三森　大貴,1999.02.21,186,76
横浜DeNAベイスターズ,内野手,柴田　竜拓,1993.12.16,167,68
横浜DeNAベイスターズ,内野手,宮下　朝陽,2004.01.26,182,88
横浜DeNAベイスターズ,内野手,加藤　響,2002.06.15,180,85
横浜DeNAベイスターズ,内野手,井上　朋也,2003.01.28,182,91
横浜DeNAベイスターズ,内野手,石上　泰輝,2001.05.18,172,85
横浜DeNAベイスターズ,内野手,成瀬　脩人,2001.05.23,175,75
横浜DeNAベイスターズ,内野手,宮﨑　敏郎,1988.12.12,172,85
横浜DeNAベイスターズ,内野手,田内　真翔,2007.03.06,177,81
横浜DeNAベイスターズ,内野手,ビシエド,1989.03.10,185,108
横浜DeNAベイスターズ,外野手,度会　隆輝,2002.10.04,183,83
横浜DeNAベイスターズ,外野手,佐野　恵太,1994.11.28,178,88
横浜DeNAベイスターズ,外野手,神里　和毅,1994.01.17,179,86
横浜DeNAベイスターズ,外野手,勝又　温史,2000.05.22,180,90
横浜DeNAベイスターズ,外野手,井上　絢登,2000.02.23,178,90
横浜DeNAベイスターズ,外野手,梶原　昂希,1999.09.19,189,90
横浜DeNAベイスターズ,外野手,蝦名　達夫,1997.09.20,185,93
横浜DeNAベイスターズ,外野手,関根　大気,1995.06.28,173,78
横浜DeNAベイスターズ,外野手,濱　将乃介,2000.05.03,181,83
横浜DeNAベイスターズ,外野手,ヒュンメル,1994.11.28,175,89
読売ジャイアンツ,監督,阿部　慎之助,1979.03.20,,
読売ジャイアンツ,投手,田中　将大,1988.11.01,188,102
読売ジャイアンツ,投手,大勢,1999.06.29,183,90
読売ジャイアンツ,投手,西舘　勇陽,2002.03.11,185,88
読売ジャイアンツ,投手,山﨑　伊織,1998.10.10,181,81
読売ジャイアンツ,投手,戸郷　翔征,2000.04.04,187,85
読売ジャイアンツ,投手,竹丸　和幸,2002.02.26,179,76
読売ジャイアンツ,投手,ウィットリー,1997.09.15,201,94
読売ジャイアンツ,投手,ハワード,1996.07.28,190,95
読売ジャイアンツ,投手,田和　廉,2003.05.02,183,87
読売ジャイアンツ,投手,赤星　優志,1999.07.02,175,82
読売ジャイアンツ,投手,山城　京平,2003.09.20,174,70
読売ジャイアンツ,投手,中川　皓太,1994.02.24,183,86
読売ジャイアンツ,投手,マタ,1999.05.03,190,101
読売ジャイアンツ,投手,則本　昂大,1990.12.17,178,89
読売ジャイアンツ,投手,田中　瑛斗,1999.07.13,184,84
読売ジャイアンツ,投手,又木　鉄平,1999.02.12,182,95
読売ジャイアンツ,投手,森田　駿哉,1997.02.11,185,88
読売ジャイアンツ,投手,ルシアーノ,2000.02.15,190,95
読売ジャイアンツ,投手,バルドナード,1993.02.01,196,122
読売ジャイアンツ,投手,高梨　雄平,1992.07.13,175,86
読売ジャイアンツ,投手,松浦　慶斗,2003.07.01,187,100
読売ジャイアンツ,投手,北浦　竜次,2000.01.12,184,103
読売ジャイアンツ,投手,宮原　駿介,2002.09.12,174,85
読売ジャイアンツ,投手,船迫　大雅,1996.10.16,174,80
読売ジャイアンツ,投手,横川　凱,2000.08.30,190,98
読売ジャイアンツ,投手,泉　圭輔,1997.03.02,188,87
読売ジャイアンツ,投手,山田　龍聖,2000.09.07,184,92
読売ジャイアンツ,投手,石川　達也,1998.04.15,178,83
読売ジャイアンツ,投手,平内　龍太,1998.08.01,185,95
読売ジャイアンツ,投手,堀田　賢慎,2001.05.21,186,90
読売ジャイアンツ,投手,マルティネス,1996.10.11,193,93
読売ジャイアンツ,投手,井上　温大,2001.05.13,176,86
読売ジャイアンツ,捕手,甲斐　拓也,1992.11.05,170,87
読売ジャイアンツ,捕手,小林　誠司,1989.06.07,178,86
読売ジャイアンツ,捕手,大城　卓三,1993.02.11,187,97
読売ジャイアンツ,捕手,岸田　行倫,1996.10.10,176,90
読売ジャイアンツ,捕手,郡　拓也,1998.04.25,179,88
読売ジャイアンツ,捕手,山瀬　慎之助,2001.05.04,177,89
読売ジャイアンツ,内野手,湯浅　大,2000.01.24,172,73
読売ジャイアンツ,内野手,増田　大輝,1993.07.29,172,71
読売ジャイアンツ,内野手,吉川　尚輝,1995.02.08,177,82
読売ジャイアンツ,内野手,門脇　誠,2001.01.24,172,75
読売ジャイアンツ,内野手,坂本　勇人,1988.12.14,186,86
読売ジャイアンツ,内野手,石塚　裕惺,2006.04.06,182,94
読売ジャイアンツ,内野手,ダルベック,1995.06.29,191,102
読売ジャイアンツ,内野手,浦田　俊輔,2002.08.30,171,67
読売ジャイアンツ,内野手,小濱　佑斗,2001.10.05,180,86
読売ジャイアンツ,内野手,泉口　友汰,1999.05.17,178,84
読売ジャイアンツ,内野手,リチャード,1999.06.18,189,120
読売ジャイアンツ,内野手,荒巻　悠,2002.12.23,184,100
読売ジャイアンツ,内野手,増田　陸,2000.06.17,179,92
読売ジャイアンツ,内野手,宇都宮　葵星,2004.06.23,175,70
読売ジャイアンツ,内野手,平山　功太,2004.03.16,185,82
読売ジャイアンツ,内野手,藤井　健翔,2007.08.15,181,96
読売ジャイアンツ,外野手,丸　佳浩,1989.04.11,177,94
読売ジャイアンツ,外野手,松本　剛,1993.08.11,180,83
読売ジャイアンツ,外野手,萩尾　匡也,2000.12.28,180,85
読売ジャイアンツ,外野手,キャベッジ,1997.05.03,188,92
読売ジャイアンツ,外野手,岡田　悠希,2000.01.19,184,86
読売ジャイアンツ,外野手,皆川　岳飛,2003.04.30,182,88
読売ジャイアンツ,外野手,中山　礼都,2002.04.12,182,90
読売ジャイアンツ,外野手,佐々木　俊輔,1999.11.06,174,80
読売ジャイアンツ,外野手,浅野　翔吾,2004.11.24,172,89
読売ジャイアンツ,外野手,若林　楽人,1998.04.13,178,83
読売ジャイアンツ,外野手,三塚　琉生,2004.05.10,182,93
東京ヤクルトスワローズ,監督,池山　隆寛,1965.12.17,,
東京ヤクルトスワローズ,投手,キハダ,1995.11.09,180,97
東京ヤクルトスワローズ,投手,石山　泰稚,1988.09.01,182,83
東京ヤクルトスワローズ,投手,中村　優斗,2003.02.08,176,86
東京ヤクルトスワローズ,投手,清水　昇,1996.10.15,180,95
東京ヤクルトスワローズ,投手,奥川　恭伸,2001.04.16,184,82
東京ヤクルトスワローズ,投手,石川　雅規,1980.01.22,167,73
東京ヤクルトスワローズ,投手,木澤　尚文,1998.04.25,183,90
東京ヤクルトスワローズ,投手,吉村　貢司郎,1998.01.19,183,85
東京ヤクルトスワローズ,投手,星　知弥,1994.04.15,183,91
東京ヤクルトスワローズ,投手,山野　太一,1999.03.24,173,81
東京ヤクルトスワローズ,投手,松本　健吾,1999.04.14,180,83
東京ヤクルトスワローズ,投手,小川　泰弘,1990.05.16,172,82
東京ヤクルトスワローズ,投手,荘司　宏太,2000.05.22,172,90
東京ヤクルトスワローズ,投手,山崎　太陽,2003.07.06,193,87
東京ヤクルトスワローズ,投手,田口　麗斗,1995.09.14,171,79
東京ヤクルトスワローズ,投手,石原　勇輝,2001.08.30,180,87
東京ヤクルトスワローズ,投手,高梨　裕稔,1991.06.05,188,94
東京ヤクルトスワローズ,投手,拓也,1994.12.31,176,99
東京ヤクルトスワローズ,投手,増居　翔太,2000.05.25,173,74
東京ヤクルトスワローズ,投手,大西　広樹,1997.11.08,175,92
東京ヤクルトスワローズ,投手,小澤　怜史,1998.03.09,182,87
東京ヤクルトスワローズ,投手,大道　温貴,1999.01.20,180,91
東京ヤクルトスワローズ,投手,高橋　奎二,1997.05.14,180,83
東京ヤクルトスワローズ,投手,鈴木　蓮吾,2007.08.18,177,70
東京ヤクルトスワローズ,投手,長谷川　宙輝,1998.08.23,176,86
東京ヤクルトスワローズ,投手,坂本　拓己,2004.07.06,180,85
東京ヤクルトスワローズ,投手,ウォルターズ,1997.05.18,195,102
東京ヤクルトスワローズ,投手,飯田　琉斗,1999.06.24,187,100
東京ヤクルトスワローズ,投手,リランソ,1995.03.07,188,112
東京ヤクルトスワローズ,投手,阪口　皓亮,1999.08.15,188,90
東京ヤクルトスワローズ,投手,丸山　翔大,1998.08.22,194,90
東京ヤクルトスワローズ,投手,下川　隼佑,2000.03.22,176,88
東京ヤクルトスワローズ,投手,廣澤　優,2001.04.27,193,102
東京ヤクルトスワローズ,投手,沼田　翔平,2000.06.24,175,80
東京ヤクルトスワローズ,投手,青柳　晃洋,1993.12.11,183,83
東京ヤクルトスワローズ,捕手,古賀　優大,1998.08.07,177,83
東京ヤクルトスワローズ,捕手,中村　悠平,1990.06.17,176,79
東京ヤクルトスワローズ,捕手,松本　直樹,1993.10.17,177,82
東京ヤクルトスワローズ,捕手,柿沼　友哉,1993.05.12,180,86
東京ヤクルトスワローズ,捕手,橋本　星哉,2000.09.18,178,85
東京ヤクルトスワローズ,捕手,矢野　泰二郎,2002.05.22,178,82
東京ヤクルトスワローズ,捕手,鈴木　叶,2006.03.21,181,81
東京ヤクルトスワローズ,内野手,赤羽　由紘,2000.06.29,176,83
東京ヤクルトスワローズ,内野手,山田　哲人,1992.07.16,181,81
東京ヤクルトスワローズ,内野手,内山　壮真,2002.06.30,172,76
東京ヤクルトスワローズ,内野手,松下　歩叶,2003.04.14,181,87
東京ヤクルトスワローズ,内野手,長岡　秀樹,2001.09.26,175,82
東京ヤクルトスワローズ,内野手,茂木　栄五郎,1994.02.14,173,78
東京ヤクルトスワローズ,内野手,宮本　丈,1995.04.03,181,82
東京ヤクルトスワローズ,内野手,オスナ,1992.12.12,188,106
東京ヤクルトスワローズ,内野手,山野辺　翔,1994.05.24,170,74
東京ヤクルトスワローズ,内野手,石井　巧,2002.03.02,180,81
東京ヤクルトスワローズ,内野手,松川　玲央,2004.03.26,183,81
東京ヤクルトスワローズ,内野手,北村　恵吾,2000.12.18,182,90
東京ヤクルトスワローズ,内野手,田中　陽翔,2006.06.25,183,88
東京ヤクルトスワローズ,内野手,武岡　龍世,2001.05.28,179,77
東京ヤクルトスワローズ,内野手,伊藤　琉偉,2002.09.11,180,78
東京ヤクルトスワローズ,外野手,並木　秀尊,1999.03.23,170,72
東京ヤクルトスワローズ,外野手,丸山　和郁,1999.07.18,174,80
東京ヤクルトスワローズ,外野手,塩見　泰隆,1993.06.12,180,81
東京ヤクルトスワローズ,外野手,サンタナ,1992.08.05,195,104
東京ヤクルトスワローズ,外野手,モイセエフ　ニキータ,2006.11.29,182,87
東京ヤクルトスワローズ,外野手,西村　瑠伊斗,2004.07.01,178,80
東京ヤクルトスワローズ,外野手,澤井　廉,2000.05.31,180,94
東京ヤクルトスワローズ,外野手,増田　珠,1999.05.21,179,93
東京ヤクルトスワローズ,外野手,岩田　幸宏,1997.07.31,175,79
中日ドラゴンズ,監督,井上　一樹,1971.07.25,,
中日ドラゴンズ,投手,中西　聖輝,2003.12.18,182,92
中日ドラゴンズ,投手,橋本　侑樹,1998.01.08,180,80
中日ドラゴンズ,投手,草加　勝,2001.11.21,182,77
中日ドラゴンズ,投手,櫻井　頼之介,2003.07.21,175,68
中日ドラゴンズ,投手,柳　裕也,1994.04.22,180,85
中日ドラゴンズ,投手,髙橋　宏斗,2002.08.09,186,86
中日ドラゴンズ,投手,涌井　秀章,1986.06.21,185,85
中日ドラゴンズ,投手,金丸　夢斗,2003.02.01,177,78
中日ドラゴンズ,投手,大野　雄大,1988.09.26,184,85
中日ドラゴンズ,投手,仲地　礼亜,2001.02.15,177,83
中日ドラゴンズ,投手,アブレウ,1995.09.26,188,94
中日ドラゴンズ,投手,松木平　優太,2003.02.24,180,85
中日ドラゴンズ,投手,根尾　昂,2000.04.19,177,85
中日ドラゴンズ,投手,伊藤　茉央,2000.11.19,176,83
中日ドラゴンズ,投手,杉浦　稔大,1992.02.25,190,90
中日ドラゴンズ,投手,福　敬登,1992.06.16,181,98
中日ドラゴンズ,投手,福田　幸之介,2005.08.11,182,88
中日ドラゴンズ,投手,松葉　貴大,1990.08.14,179,82
中日ドラゴンズ,投手,勝野　昌慶,1997.06.12,183,95
中日ドラゴンズ,投手,梅野　雄吾,1999.01.13,177,90
中日ドラゴンズ,投手,吉田　聖弥,2002.05.23,177,81
中日ドラゴンズ,投手,清水　達也,1999.11.03,185,93
中日ドラゴンズ,投手,篠﨑　国忠,2005.06.12,193,105
中日ドラゴンズ,投手,藤嶋　健人,1998.05.08,177,90
中日ドラゴンズ,投手,齋藤　綱記,1996.12.18,182,92
中日ドラゴンズ,投手,高橋　幸佑,2006.12.31,178,87
中日ドラゴンズ,投手,有馬　惠叶,2006.09.20,191,82
中日ドラゴンズ,投手,牧野　憲伸,1999.09.19,181,91
中日ドラゴンズ,投手,三浦　瑞樹,1999.09.02,174,81
中日ドラゴンズ,投手,近藤　廉,1998.09.22,180,93
中日ドラゴンズ,投手,松山　晋也,2000.06.23,188,92
中日ドラゴンズ,投手,メヒア,1997.03.03,193,104
中日ドラゴンズ,投手,マラー,1997.10.07,201,118
中日ドラゴンズ,捕手,石伊　雄太,2000.08.18,178,84
中日ドラゴンズ,捕手,木下　拓哉,1991.12.18,183,95
中日ドラゴンズ,捕手,宇佐見　真吾,1993.06.04,181,95
中日ドラゴンズ,捕手,味谷　大誠,2003.06.14,180,88
中日ドラゴンズ,捕手,加藤　匠馬,1992.04.29,175,85
中日ドラゴンズ,捕手,石橋　康太,2000.12.07,181,92
中日ドラゴンズ,内野手,辻本　倫太郎,2001.08.11,168,75
中日ドラゴンズ,内野手,田中　幹也,2000.11.28,166,68
中日ドラゴンズ,内野手,高橋　周平,1994.01.18,180,90
中日ドラゴンズ,内野手,カリステ,1992.02.03,184,87
中日ドラゴンズ,内野手,村松　開人,2001.01.06,172,80
中日ドラゴンズ,内野手,福永　裕基,1996.09.16,180,87
中日ドラゴンズ,内野手,サノー,1993.05.11,196,126
中日ドラゴンズ,内野手,石川　昂弥,2001.06.22,186,100
中日ドラゴンズ,内野手,森　駿太,2006.12.25,188,93
中日ドラゴンズ,内野手,土田　龍空,2002.12.30,180,80
中日ドラゴンズ,内野手,阿部　寿樹,1989.12.03,185,92
中日ドラゴンズ,内野手,新保　茉良,2003.11.29,183,76
中日ドラゴンズ,内野手,山本　泰寛,1993.10.10,176,76
中日ドラゴンズ,内野手,板山　祐太郎,1994.03.27,180,88
中日ドラゴンズ,内野手,知野　直人,1999.02.16,182,85
中日ドラゴンズ,内野手,ロドリゲス,2002.03.31,189,90
中日ドラゴンズ,内野手,樋口　正修,1998.11.17,177,76
中日ドラゴンズ,外野手,尾田　剛樹,2000.08.03,175,77
中日ドラゴンズ,外野手,岡林　勇希,2002.02.22,175,75
中日ドラゴンズ,外野手,大島　洋平,1985.11.09,176,75
中日ドラゴンズ,外野手,ボスラー,1993.09.06,186,98
中日ドラゴンズ,外野手,ブライト　健太,1999.05.07,184,92
中日ドラゴンズ,外野手,川越　誠司,1993.06.30,174,80
中日ドラゴンズ,外野手,上林　誠知,1995.08.01,185,90
中日ドラゴンズ,外野手,細川　成也,1998.08.04,179,98
中日ドラゴンズ,外野手,花田　旭,2003.04.23,187,87
中日ドラゴンズ,外野手,鵜飼　航丞,1999.05.30,183,100
中日ドラゴンズ,外野手,能戸　輝夢,2007.05.15,184,82
オリックス・バファローズ,監督,岸田　護,1981.05.10,,
オリックス・バファローズ,投手,エスピノーザ,1998.03.09,183,86
オリックス・バファローズ,投手,山下　舜平大,2002.07.16,190,100
オリックス・バファローズ,投手,東　晃平,1999.12.14,178,90
オリックス・バファローズ,投手,寺西　成騎,2002.10.18,186,85
オリックス・バファローズ,投手,椋木　蓮,2000.01.22,179,86
オリックス・バファローズ,投手,平野　佳寿,1984.03.08,186,90
オリックス・バファローズ,投手,曽谷　龍平,2000.11.30,183,83
オリックス・バファローズ,投手,宮城　大弥,2001.08.25,171,85
オリックス・バファローズ,投手,山岡　泰輔,1995.09.22,172,68
オリックス・バファローズ,投手,阿部　翔太,1992.11.03,178,80
