É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2026/05/14 19:03:54

,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ
2009/11,11.7,25.4,3.1,292.5,0,83.5,0,2.8,14.2,ñkêº,10.6,1018.9,1020.9
2009/12,6.9,18.1,-1.8,149.5,0,98.0,0,3.1,11.1,êº,7.3,1016.4,1018.3
2010/1,4.3,17.1,-2.4,151.0,0,101.7,0,3.1,10.9,ìÏìÏìå,6.0,1017.8,1019.8
2010/2,6.2,22.4,-1.2,131.5,0,72.3,0,3.3,12.3,ìÏìÏìå,7.0,1017.5,1019.5
2010/3,8.0,25.1,-0.9,184.0,0,78.8,0,3.7,15.1,ìÏìÏìå,7.5,1017.1,1019.1
2010/4,11.6,24.3,0.0,150.0,0,136.8,0,3.2,11.1,ìÏìÏìå,8.9,1016.1,1018.0
2010/5,17.1,29.8,6.2,153.5,0,182.6,0,3.3,11.9,ìÏìÏìå,12.9,1010.1,1012.0
2010/6,22.1,33.1,12.3,150.5,0,184.6,0,2.5,8.7,ìÏìÏìå,19.5,1009.0,1010.8
2010/7,26.7,35.4,20.7,139.5,0,179.9,0,2.7,9.7,ìÏ,25.5,1007.9,1009.7
2010/8,29.8,38.4,23.1,28.0,0,261.6,0,3.3,11.9,êº,27.6,1010.9,1012.7
2010/9,24.7,37.7,13.7,158.5,0,159.8,0,2.8,10.3,ñk,22.9,1011.3,1013.2
2010/10,17.8,28.1,7.6,184.5,0,112.8,0,2.4,9.8,ìÏ,16.2,1015.2,1017.1
2010/11,11.2,22.1,1.9,153.5,0,128.8,0,2.9,11.0,ìÏ,9.5,1017.3,1019.2
2010/12,7.1,20.5,-0.5,246.0,0,117.7,0,3.4,11.6,êº,7.3,1011.4,1013.4
2011/1,1.5,8.2,-6.1,252.0,0,57.8,0,2.9,10.8,êº,5.6,1017.7,1019.7
2011/2,5.0,18.7,-3.3,102.0,0,109.1,0,2.8,10.3,ñkñkêº,6.5,1018.0,1020.0
2011/3,5.7,18.7,-2.0,147.0,0,129.2,0,3.2,11.7,êºñkêº,6.6,1017.0,1019.0
2011/4,11.5,26.3,-0.9,101.0,0,169.1,0,3.3,11.9,ìÏ,8.7,1012.9,1014.8
2011/5,18.0,30.9,8.2,366.5,0,165.7,0,3.2,13.3,ìÏ,14.0,1010.0,1011.8
2011/6,23.2,35.1,13.8,174.0,0,132.0,0,2.7,10.1,ìÏìÏìå,20.9,1007.1,1008.9
2011/7,26.8,37.0,19.8,114.5,0,174.3,0,2.9,8.4,ìåñkìå,25.1,1005.8,1007.6
2011/8,27.5,37.6,20.5,149.5,0,183.0,0,2.4,7.5,êºñkêº,26.3,1007.9,1009.7
2011/9,23.3,34.2,12.1,462.0,0,172.8,0,2.9,11.5,ñk,21.6,1008.8,1010.6
2011/10,17.4,26.8,7.3,94.0,0,162.6,0,2.6,7.7,ñk,14.4,1016.7,1018.6
2011/11,13.9,25.8,4.2,93.5,0,103.1,0,2.9,10.1,ñkìå,11.8,1019.4,1021.4
2011/12,5.6,16.3,0.1,319.5,0,45.2,0,3.0,10.8,ñkñkêº,7.2,1020.2,1022.2
2012/1,3.0,11.9,-2.3,299.5,0,58.4,0,2.7,11.6,êº,6.3,1018.9,1020.9
2012/2,2.2,11.8,-3.6,265.5,0,68.0,0,2.9,10.8,ñkñkêº,5.8,1018.1,1020.1
2012/3,6.9,20.2,-1.9,229.5,0,95.3,0,3.3,12.1,êº,7.3,1015.7,1017.7
2012/4,13.9,30.5,0.4,83.0,0,180.9,0,3.9,19.5,ìÏ,10.3,1012.5,1014.4
2012/5,17.4,28.7,5.0,101.5,0,200.6,0,3.0,9.8,êºñkêº,13.6,1009.5,1011.4
2012/6,21.8,30.8,14.8,123.5,0,146.8,0,2.7,12.0,ìÏ,19.5,1006.7,1008.5
2012/7,27.2,36.6,17.0,116.0,0,212.9,0,3.0,10.5,êº,26.3,1006.0,1007.8
2012/8,29.0,37.7,18.5,119.5,0,272.7,0,3.0,9.6,êºñkêº,26.7,1009.0,1010.8
2012/9,24.2,34.0,15.3,261.0,0,156.0,0,2.7,12.6,ìÏìÏìå,23.4,1011.3,1013.1
2012/10,17.2,26.7,8.9,177.0,0,169.1,0,3.0,12.0,ìÏ,14.5,1015.0,1016.9
2012/11,11.0,20.4,1.2,187.0,0,95.4,0,3.2,11.0,ìÏ,9.7,1015.0,1016.9
2012/12,4.5,15.4,-2.7,318.0,0,69.4,0,3.6,12.0,êºñkêº,6.5,1017.8,1019.8
2013/1,3.7,12.3,-2.1,142.0,0,74.1,0,3.4,12.6,ñkñkêº,5.9,1020.0,1022.0
2013/2,4.5,16.4,-2.1,119.5,0,67.2,0,3.5,12.4,ìÏ,6.2,1019.8,1021.8
2013/3,9.4,23.5,-2.2,57.0,0,157.8,0,3.7,14.8,ìÏìÏìå,7.6,1014.6,1016.6
2013/4,12.4,28.1,1.0,80.5,0,178.4,0,3.8,11.2,ìÏìÏìå,9.1,1010.9,1012.8
2013/5,18.1,32.3,6.0,39.5,0,251.0,0,3.5,12.6,ìÏ,13.0,1011.1,1013.0
2013/6,22.9,33.7,13.3,105.5,0,157.2,0,2.7,7.8,êºñkêº,20.7,1007.1,1008.9
2013/7,27.8,35.9,19.7,129.0,0,216.0,0,3.3,9.6,ìÏ,26.5,1006.5,1008.3
2013/8,28.1,37.1,19.7,264.0,0,215.6,0,2.9,9.3,ñkêº,27.7,1006.0,1007.8
2013/9,22.9,34.6,13.1,394.5,0,196.2,0,2.9,14.3,ñk,21.0,1012.6,1014.5
2013/10,18.6,32.4,8.0,320.0,0,125.9,0,3.0,17.9,ìÏìÏìå,16.6,1016.0,1017.9
2013/11,11.4,22.4,1.7,171.0,0,127.3,0,3.4,14.3,ìÏìÏìå,9.8,1016.2,1018.1
2013/12,6.0,15.8,-3.8,225.5,0,75.3,0,3.5,13.4,êºñkêº,6.8,1016.1,1018.1
2014/1,4.3,14.7,-1.7,187.0,0,81.9,0,3.1,11.5,ñkñkêº,6.3,1020.0,1022.0
2014/2,4.5,20.2,-1.2,113.5,0,67.1,0,3.0,12.4,ñkñkêº,6.3,1021.0,1023.0
2014/3,8.5,24.2,-2.6,183.5,0,138.3,0,3.6,11.9,ñkñkêº,7.8,1016.6,1018.6
2014/4,12.8,26.3,0.0,76.0,0,210.6,0,3.0,12.5,êºñkêº,9.2,1015.3,1017.2
2014/5,18.5,32.2,5.1,77.0,0,253.9,0,3.6,14.4,ìÏìÏìå,12.7,1010.0,1011.9
2014/6,22.3,34.1,15.3,155.5,0,158.6,0,2.5,10.7,ìÏ,19.3,1005.0,1006.8
2014/7,26.3,37.8,19.2,118.0,0,194.2,0,2.8,7.8,êºñkêº,25.3,1006.5,1008.3
2014/8,25.9,35.3,18.9,354.5,0,85.7,0,2.8,9.8,ñkìå,26.3,1007.2,1009.0
2014/9,21.8,31.2,12.9,70.5,0,175.7,0,2.7,10.7,ìÏìÏìå,19.7,1011.4,1013.2
2014/10,17.0,27.3,5.5,229.5,0,150.4,0,3.1,15.0,ñk,14.6,1016.6,1018.5
2014/11,12.3,22.6,4.4,128.5,0,118.3,0,2.8,10.2,êº,10.9,1017.8,1019.8
2014/12,4.9,18.1,-1.6,196.5,0,72.0,0,3.9,13.8,êº,6.4,1017.4,1019.4
2015/1,4.9,13.2,-1.5,285.0,0,44.8,0,3.7,12.9,êº,6.5,1018.2,1020.2
2015/2,5.2,15.4,-2.2,105.5,0,71.8,0,3.6,12.6,êº,6.3,1017.2,1019.2
2015/3,8.3,23.9,-2.4,147.0,0,150.5,0,3.3,11.2,êºñkêº,7.4,1017.7,1019.7
2015/4,14.0,29.3,1.2,148.5,0,175.2,0,3.2,13.3,ìÏ,11.0,1014.5,1016.4
2015/5,19.4,31.8,7.0,84.5,0,246.9,0,3.3,15.4,ìÏ,13.9,1008.5,1010.4
2015/6,21.8,32.1,11.2,165.0,0,151.6,0,2.8,10.8,ìÏ,19.8,1006.1,1007.9
2015/7,26.0,36.7,17.2,114.0,0,153.2,0,3.1,9.4,ìÏ,25.9,1006.5,1008.3
2015/8,26.3,36.6,18.3,131.5,0,199.4,0,2.5,11.1,ìÏìå,26.2,1006.9,1008.7
2015/9,21.1,30.4,13.3,181.0,0,130.5,0,2.5,8.3,ñk,20.0,1011.3,1013.1
2015/10,16.5,26.1,6.6,39.0,0,206.6,0,3.1,12.5,ìÏ,13.0,1015.9,1017.8
2015/11,13.5,23.7,2.0,152.5,0,80.8,0,2.6,11.3,ìÏìå,12.4,1019.9,1021.8
2015/12,8.2,18.1,-0.2,196.5,0,84.9,0,2.7,13.4,ñkñkêº,8.5,1020.3,1022.3
2016/1,4.7,16.5,-5.4,183.5,0,73.2,0,3.0,12.1,êº,6.5,1018.5,1020.5
2016/2,5.3,19.5,-3.1,167.5,0,99.2,0,3.1,10.2,êº,6.8,1020.0,1021.9
2016/3,9.1,21.8,-0.6,70.0,0,148.2,0,3.1,10.5,ìÏ,7.7,1018.9,1020.8
2016/4,14.8,28.4,1.1,112.5,0,160.4,0,3.4,18.2,ìÏìÏìå,11.5,1012.1,1014.0
2016/5,19.2,29.8,8.3,94.0,0,227.6,0,3.4,16.3,ìÏ,15.0,1010.8,1012.7
2016/6,22.8,31.8,10.4,160.0,0,159.5,0,2.8,10.6,ìÏ,20.8,1007.1,1008.9
2016/7,26.8,36.2,19.8,73.0,0,182.3,0,2.8,8.4,ìÏ,26.3,1007.8,1009.6
2016/8,27.2,38.1,19.2,149.0,0,255.9,0,2.6,10.1,ìÏ,26.5,1003.5,1005.3
2016/9,23.4,33.3,15.3,326.0,0,88.4,0,2.2,11.0,ñk,23.6,1011.2,1013.0
2016/10,18.3,30.2,6.7,94.5,0,116.4,0,2.7,14.6,ìÏ,16.4,1016.5,1018.4
2016/11,11.9,21.5,3.2,120.0,0,105.9,0,2.8,9.4,ñkìå,10.9,1018.9,1020.8
2016/12,8.4,22.0,0.6,245.0,0,96.4,0,3.4,15.7,ìÏìÏìå,8.6,1019.5,1021.5
2017/1,4.5,14.3,-1.7,248.5,0,70.3,0,3.7,15.4,ñkñkêº,6.3,1018.6,1020.6
2017/2,4.6,14.4,-1.9,306.5,0,79.0,0,3.5,13.5,ìÏìå,6.4,1017.4,1019.4
2017/3,7.2,18.2,-1.3,94.0,0,162.0,0,3.2,11.4,ñkñkêº,6.9,1015.9,1017.9
2017/4,14.5,30.0,0.6,71.0,0,209.2,0,3.5,11.4,êºñkêº,10.6,1011.5,1013.4
2017/5,19.2,31.6,6.4,46.5,0,222.9,0,3.0,9.3,ìÏìÏìå,13.9,1010.9,1012.8
2017/6,21.1,31.7,10.2,76.5,0,223.2,0,2.8,9.9,êº,17.4,1007.5,1009.4
2017/7,27.8,37.2,21.3,205.0,0,190.0,0,2.6,7.8,ñkìå,28.0,1007.4,1009.2
2017/8,27.3,37.8,19.1,208.0,0,195.3,0,2.6,11.7,ñkñkêº,27.6,1005.6,1007.4
2017/9,22.0,30.3,13.3,314.0,0,164.8,0,2.7,16.9,ñk,20.4,1010.4,1012.2
2017/10,17.4,30.0,7.6,353.5,0,108.9,0,2.7,15.5,ñk,16.0,1017.1,1019.0
2017/11,11.2,22.8,2.3,121.5,0,132.0,0,3.2,10.6,ìÏìÏìå,9.7,1018.4,1020.3
2017/12,5.0,15.3,-1.3,203.0,0,70.9,0,3.4,11.4,êºñkêº,6.6,1019.3,1021.2
2018/1,3.6,15.7,-4.1,141.5,0,71.5,0,3.5,13.9,êº,6.2,1017.4,1019.4
2018/2,3.3,16.0,-6.2,97.0,0,132.0,0,2.9,10.6,êº,5.5,1018.6,1020.6
2018/3,9.7,23.5,-0.6,179.5,0,189.5,0,3.5,13.6,êº,8.1,1017.4,1019.3
2018/4,14.8,29.6,2.7,97.0,0,189.6,0,3.4,14.1,ìÏ,11.4,1013.9,1015.8
2018/5,18.9,31.7,6.5,167.0,0,180.4,0,3.4,10.9,êºñkêº,14.5,1010.4,1012.2
2018/6,22.2,33.1,12.5,117.5,0,164.0,0,2.9,9.9,ìÏ,19.7,1007.2,1009.1
2018/7,28.3,38.5,19.9,314.5,0,255.6,0,2.9,10.9,ìÏìÏìå,27.2,1007.6,1009.4
2018/8,28.6,38.1,16.7,32.0,0,241.7,0,3.2,12.0,ìÏìÏìå,26.7,1006.9,1008.7
2018/9,22.4,33.9,14.4,617.0,0,83.8,0,2.6,14.8,ñk,22.2,1010.8,1012.6
2018/10,17.3,32.6,7.9,90.0,0,145.0,0,2.8,14.8,ìÏìÏìå,15.0,1015.3,1017.1
2018/11,12.3,24.2,4.6,102.5,0,128.2,0,2.5,11.7,ìÏìÏìå,11.2,1019.9,1021.8
2018/12,7.4,22.9,-0.6,228.0,0,44.4,0,3.1,10.5,êºñkêº,8.5,1020.8,1022.8
2019/1,5.1,13.3,-1.8,118.5,0,76.0,0,3.4,11.0,ñkêº,6.5,1019.6,1021.6
2019/2,6.5,16.1,-0.1,95.5,0,86.4,0,3.2,9.8,ìÏ,7.0,1019.5,1021.5
2019/3,8.9,23.0,0.1,148.5,0,123.4,0,3.3,11.9,êºñkêº,8.0,1014.0,1015.9
2019/4,12.4,28.5,0.6,119.5,0,181.0,0,3.2,12.5,ìÏ,9.8,1012.9,1014.8
2019/5,19.1,34.2,5.2,51.0,0,279.5,0,3.5,14.8,ìÏìÏìå,12.8,1010.9,1012.7
2019/6,21.9,33.0,13.5,167.5,0,162.2,0,2.8,10.2,ñk,19.7,1005.4,1007.3
2019/7,25.8,36.0,18.9,154.5,0,146.1,0,2.6,9.9,ìÏìÏìå,26.9,1006.2,1008.0
2019/8,28.2,38.3,20.0,133.0,0,202.1,0,2.6,9.1,ìÏìå,28.4,1005.7,1007.5
2019/9,24.6,36.0,13.1,79.0,0,155.2,0,2.8,14.4,ìÏ,23.9,1012.9,1014.7
2019/10,18.5,29.7,8.6,215.0,0,115.7,0,2.8,14.8,ñk,17.4,1015.0,1016.9
2019/11,12.2,22.9,1.8,87.5,0,126.0,0,2.9,12.3,ìÏ,10.7,1019.0,1020.9
2019/12,8.2,17.0,-0.3,167.0,0,69.8,0,3.0,13.5,ìÏìÏìå,8.7,1020.4,1022.4
2020/1,7.4,17.9,0.1,118.0,0,64.9,0,3.2,12.2,êºñkêº,7.8,1017.8,1019.8
2020/2,6.6,18.1,-3.2,120.0,0,97.7,0,3.4,11.0,ñk,7.4,1020.4,1022.4
2020/3,9.7,22.8,-0.6,148.5,0,156.7,0,3.3,13.1,êº,8.5,1014.4,1016.4
2020/4,11.6,22.7,2.0,219.5,0,190.9,0,3.7,12.2,ñkñkêº,8.9,1013.7,1015.6
2020/5,18.7,29.3,7.8,74.5,0,208.8,0,3.2,9.5,ìÏìÏìå,15.4,1009.4,1011.3
2020/6,23.3,33.7,13.9,288.0,0,194.0,0,3.0,10.6,ìÏ,21.1,1005.5,1007.3
2020/7,24.6,33.6,18.2,272.5,0,63.6,0,2.5,8.3,ìÏìÏìå,25.8,1006.4,1008.2
2020/8,29.3,38.1,22.7,8.5,0,264.0,0,3.0,10.0,ìÏìÏìå,28.6,1009.1,1010.9
2020/9,23.9,37.5,13.8,261.5,0,131.5,0,3.0,15.7,ìÏìÏìå,22.9,1009.6,1011.4
2020/10,16.8,28.2,6.7,111.0,0,143.9,0,2.4,9.1,êº,15.1,1016.5,1018.4
2020/11,13.0,25.6,3.9,114.5,0,125.3,0,3.0,11.6,ìÏ,11.7,1020.5,1022.4
2020/12,6.1,16.6,0.0,359.5,0,85.5,0,3.0,15.6,êºìÏêº,7.7,1019.3,1021.3
2021/1,4.3,16.1,-5.4,145.0,0,105.6,0,3.2,13.9,êº,6.5,1019.1,1021.1
2021/2,7.0,23.0,-2.8,117.0,0,135.9,0,3.6,12.5,êº,7.0,1017.1,1019.0
2021/3,10.4,23.4,-0.8,129.5,0,169.1,0,3.5,15.9,ìÏìÏìå,9.0,1017.3,1019.2
2021/4,13.4,25.8,1.0,104.5,0,215.0,0,3.6,14.8,ìÏ,10.5,1016.8,1018.7
2021/5,18.3,29.1,7.7,146.0,0,164.4,0,3.3,11.1,ìÏìÏìå,15.4,1008.1,1010.0
2021/6,22.6,33.3,12.5,125.5,0,154.0,0,3.0,14.7,ìÏ,20.0,1007.3,1009.1
2021/7,26.9,36.2,21.3,380.0,0,188.6,0,2.6,7.6,êºñkêº,27.6,1007.8,1009.6
2021/8,26.8,39.2,20.5,388.5,0,128.5,0,2.8,19.2,êº,27.4,1007.4,1009.2
2021/9,23.8,32.5,16.4,126.0,0,124.4,0,2.6,10.4,ìÏ,23.2,1011.6,1013.5
2021/10,18.3,31.5,8.4,135.0,0,175.9,0,2.8,10.5,ñk,16.5,1018.0,1019.8
2021/11,12.1,23.0,2.1,116.0,0,148.0,0,3.1,15.8,ìÏìÏìå,10.4,1016.3,1018.2
2021/12,7.0,18.5,-1.2,275.0,0,76.1,0,3.5,13.4,êºñkêº,7.8,1018.5,1020.5
2022/1,3.7,12.7,-2.0,140.0,0,71.2,0,3.2,10.9,ñkñkêº,6.4,1018.7,1020.7
2022/2,3.0,13.6,-3.2,187.0,0,90.8,0,3.1,10.3,ñkñkêº,6.0,1019.6,1021.6
2022/3,9.6,23.2,-1.3,93.5,0,153.0,0,3.5,20.1,ìÏìÏìå,8.6,1015.2,1017.2
2022/4,14.4,27.8,0.5,129.5,0,209.4,0,3.1,9.5,ñk,11.2,1015.2,1017.1
2022/5,18.5,30.2,5.0,48.0,0,230.7,0,2.9,8.5,ìÏìÏêº,13.6,1010.9,1012.8
2022/6,23.7,35.9,11.9,87.5,0,214.4,0,3.1,10.9,êºñkêº,21.0,1007.6,1009.4
2022/7,27.5,38.3,19.8,239.5,0,153.4,0,2.8,9.0,ìÏìÏìå,,1005.4,1007.2
2022/8,28.1,37.4,16.6,127.0,0,172.3,0,2.8,10.3,ñkêº,28.8,1006.5,1008.3
2022/9,24.3,34.5,13.6,179.0,0,133.8,0,2.9,18.4,ìÏìÏìå,24.3,1010.5,1012.3
2022/10,16.8,30.0,8.0,108.0,0,146.6,0,2.7,9.2,ñk,14.9,1018.3,1020.2
2022/11,13.7,24.6,5.1,78.0,0,151.9,0,2.8,12.3,ìÏìÏìå,12.2,1017.8,1019.7
2022/12,5.6,15.8,-3.6,117.5,0,65.6,0,3.3,10.6,êºìÏêº,7.1,1018.1,1020.1
2023/1,4.7,17.1,-5.2,237.0,0,70.3,0,3.1,12.1,ñkñkêº,7.2,1018.7,1020.7
2023/2,5.7,17.6,-1.9,86.0,0,85.3,0,3.2,10.7,ñk,6.9,1021.5,1023.5
2023/3,11.1,25.8,0.0,77.5,0,201.2,0,3.1,10.6,ìÏìÏìå,9.1,1018.4,1020.3
2023/4,14.3,26.6,3.3,205.0,0,189.3,0,3.5,11.5,êºñkêº,11.2,1013.8,1015.7
2023/5,18.6,31.1,6.7,222.0,0,203.9,0,3.2,11.1,ìÏìÏìå,14.6,1012.5,1014.3
2023/6,22.9,32.9,13.0,206.0,0,149.7,0,2.9,10.5,ìÏìÏìå,21.5,1006.8,1008.7
2023/7,28.1,38.1,20.8,256.0,0,220.9,0,3.0,8.1,ìÏìÏìå,27.7,1008.2,1010.0
2023/8,30.0,38.6,23.8,266.0,0,252.8,0,3.7,14.5,ñkñkêº,29.4,1005.0,1006.8
2023/9,25.6,35.5,16.5,133.5,0,125.4,0,2.5,8.6,ñkìå,26.6,1010.7,1012.5
2023/10,17.4,28.1,8.2,101.5,0,185.1,0,2.8,8.8,ñk,14.7,1015.2,1017.1
2023/11,13.2,28.1,2.4,166.0,0,148.8,0,3.4,12.3,ìÏìÏìå,11.2,1017.3,1019.2
2023/12,8.0,21.9,-0.8,102.0,0,103.6,0,3.4,11.3,ìÏìÏìå,8.4,1020.0,1021.9
2024/1,5.7,15.2,-2.2,242.0,0,78.3,0,3.1,11.8,êºñkêº,7.2,1019.5,1021.4
2024/2,6.9,20.2,-1.2,166.5,0,67.6,0,3.1,12.1,ìÏ,7.9,1021.3,1023.2
2024/3,8.4,21.1,-1.4,150.0,0,118.4,0,3.7,15.2,ñkñkêº,7.9,1015.2,1017.2
2024/4,15.9,27.2,3.3,168.0,0,175.2,0,2.8,12.0,ìÏìÏìå,13.2,1012.5,1014.4
2024/5,18.4,29.7,6.7,127.5,0,225.5,0,3.6,13.7,ìÏìÏìå,14.1,1012.2,1014.0
2024/6,23.3,34.0,12.7,170.5,0,170.7,0,3.1,9.5,ìÏìÏìå,20.8,1007.3,1009.2
2024/7,28.1,37.4,20.8,280.0,0,173.6,0,2.8,8.8,êºñkêº,29.8,1007.5,1009.3
2024/8,29.0,39.4,22.8,73.5,0,236.2,0,2.7,7.7,ìå,30.3,1005.9,1007.7
2024/9,27.2,37.9,17.0,22.0,0,212.7,0,2.7,12.1,ìÏìÏìå,27.3,1011.3,1013.1
2024/10,19.6,30.5,9.7,223.0,0,128.0,0,2.7,10.6,ìÏìÏìå,18.5,1016.9,1018.8
2024/11,12.9,24.8,5.0,234.5,0,112.7,0,3.0,13.0,ìÏ,12.0,1018.3,1020.2
2024/12,6.8,18.8,0.2,191.5,0,77.0,0,3.4,10.6,ñkñkêº,7.4,1017.0,1019.0
2025/1,4.6,15.0,-2.9,106.0,0,102.0,0,3.1,10.6,êºìÏêº,6.6,1018.8,1020.7
2025/2,3.1,15.2,-3.3,199.5,0,90.6,0,3.4,13.4,êºìÏêº,6.0,1017.9,1019.9
2025/3,8.9,27.0,-1.0,184.5,0,145.0,0,3.3,11.6,ñkñkêº,8.2,1015.8,1017.8
2025/4,13.8,30.4,0.0,58.0,0,184.6,0,3.2,11.5,ìÏìÏêº,10.8,1010.9,1012.8
2025/5,18.3,33.4,6.3,96.5,0,200.4,0,3.3,14.4,ìÏ,14.9,1010.2,1012.0
2025/6,24.3,36.5,13.3,173.0,0,185.5,0,3.0,9.8,ìÏ,22.0,1007.3,1009.2
2025/7,29.6,38.6,22.1,16.0,0,323.0,0,3.3,10.9,ìÏìÏìå,28.1,1007.0,1008.8
2025/8,28.9,38.4,21.5,144.0,0,239.2,0,2.7,9.2,ìÏ,30.2,1008.3,1010.1
2025/9,25.8,37.8,15.7,185.5,0,125.1,0,2.8,11.2,êº,26.8,1011.5,1013.3
2025/10,19.1,30.1,6.7,168.0,0,122.4,0,2.6,10.4,ìÏ,18.4,1017.2,1019.0
2025/11,12.2,22.0,2.9,102.5,0,148.2,0,2.7,12.2,ñk,10.9,1018.3,1020.2
2025/12,8.0,19.4,0.3,234.5,0,93.3,0,3.3,10.9,êºñkêº,8.5,1018.7,1020.6
2026/1,3.7,15.5,-2.7,290.5,0,75.8,0,3.6,11.6,êºñkêº,6.4,1016.9,1018.9
2026/2,5.8,21.5,-2.5,135.5,0,99.8,0,3.0,12.4,ñkñkêº,7.3,1017.5,1019.5
2026/3,8.9,24.4,-1.0,126.0,0,163.8,0,3.1,14.8,ìÏ,8.4,1018.2,1020.2
